year,ASMR,PM2.5,avgmonthNDVI,O3,urbanization,dazhuanper,avgeduyrs,60_laborincome_per,60_pension_per,60_SRH_good,secindust_per,terindust_per,GDP,logincomeperper,avgrent_fee,perGDP,doctor1k,numbed1k
2010,7.358676878,54.30747834,0.514401116,76.31026175,39.42884637,2.903608739,7.231270022,33.46808934,4.491130404,26.64855193,53.03,31.23,9881100,8.514188682,279.758936,18604,1.179385812,3.069980394
2010,7.160710435,68.113822,0.508703086,82.51408198,43.40554033,1.21608364,7.2086528,42.82931053,2.388425876,35.63877765,47.25,33.91,6368877,8.624252264,335.6164384,17621,1.58541707,3.86099776
2010,7.394150254,73.41076872,0.559057614,81.08302638,28.01107149,1.000247427,6.875009908,52.70473109,1.883077643,36.89740541,37.36,35.9,5127800,8.452974619,341.1347518,10318,0.722170213,1.862015805
2010,7.700713662,50.61116951,0.600479327,72.34177026,44.40827141,3.257473541,7.159446093,38.35960704,2.840606199,31.74929556,46.61,38.2,3008439,8.670257567,429.4605809,21437,1.374670414,2.857717334
2010,7.183524193,63.42452947,0.484981512,78.90623508,41.50393055,1.461472942,6.940929147,40.402544,2.676815407,33.89696304,49.16,29.5,6956502,8.685246776,210.9106529,17400,1.225028366,2.469356515
2010,8.21413792,73.37411886,0.537788825,81.13194815,31.48883415,1.003785634,6.945352762,59.20646093,1.53769072,33.12536534,39.17,33.49,7218144,8.339739766,285.8372457,9068,1.041196129,2.203183115
2010,7.156345933,64.55584165,0.423321546,71.3567239,62.75901911,2.644801896,7.232475435,46.85511814,3.924984829,42.23127068,53.92,41.17,27016100,8.870241567,284.4144144,54796,1.450309889,3.335109287
2010,5.868301464,72.58764489,0.540753772,85.80881285,52.95197978,1.423006359,7.555800878,37.30661041,3.277074543,30.35161744,64.64,26.61,4616043,8.582418976,234.6666667,22309,2.041833706,4.308803581
2010,6.501244558,68.16956329,0.467026383,77.26621043,53.70205134,1.173476345,7.225468725,46.90844491,3.020061528,35.39581438,64.42,27.8,6035491,8.65625924,274.715262,26049,1.287846962,2.739667003
2010,7.29776225,42.9746682,0.664142624,71.24924912,40.85144741,1.951936821,7.306901708,43.46312956,6.139602075,29.18116751,44.09,43.2,3093198,8.812248018,213.1764706,20846,1.785162401,3.574004032
2010,8.091609208,58.88986403,0.525674782,75.72791392,34.79727213,1.714049845,7.194723744,43.56906835,1.739437644,31.65277749,42.26,34.18,6761209,8.458292083,232.4096386,12047,3.242038542,3.098889235
2010,7.029960277,64.30912176,0.440905593,74.86701977,56.27076668,1.358125136,6.937148636,48.2689747,4.566134043,41.40035508,69.49,27,8110148,9.141097469,184.4070278,62942,1.158464995,1.713833981
2010,6.666823934,71.43087263,0.548768069,87.61975675,31.21400565,1.572977315,7.366454011,50.50621927,2.576188126,37.71376066,37.88,34.23,6505700,8.469262658,321.8487395,9945,0.975354778,1.951830439
2010,7.494329237,60.88264711,0.446423446,71.32726541,45.83398926,2.225094396,6.842751883,37.40048869,4.185386616,33.38062584,72.74,25.19,4667000,8.890961213,282.9787234,64496,1.173632309,2.183442441
2010,8.246371723,62.19146275,0.458577508,72.39054877,55.15774316,1.390474772,7.053616696,46.83651805,2.947629158,44.97523001,65.18,30.38,11085924,8.966228514,232.7433628,48306,1.459111197,2.902539272
2010,7.916316817,50.49516619,0.599567401,79.10844829,43.28862372,1.739201261,6.839145449,40.3648682,3.228766012,37.32665232,47.21,35.95,5257000,8.802522498,228.1632653,20754,1.492338146,2.930194107
2010,8.031316192,66.20742966,0.427048347,90.42822684,85.9594925,7.958089477,9.139432043,17.03356908,14.8719992,33.46697878,24.01,75.11,141135800,9.492658082,332.0335668,75943,3.362877955,4.38167385
2010,6.906440519,32.59327076,0.603062815,80.85826362,61.95147434,3.584613856,8.050617203,21.66986664,5.318872918,39.95641119,44.88,46.06,31234092,9.052867513,230.3459119,44667,1.997226005,3.249726051
2010,7.615490066,31.53912279,0.680565348,79.65915835,45.01804032,2.992919715,7.963667016,28.50286737,4.656932525,48.30194818,53.25,33.74,9908973,8.843759382,208.3761562,38698,1.739762341,4.051892035
2010,8.50480729,34.53072823,0.664729655,78.68694081,50.73935532,1.642017351,7.373190858,34.22505119,2.755274637,43.91079854,41.83,36.28,7286525,8.818630229,191.2723449,26279,1.19748347,3.558808988
2010,7.815452521,31.05152264,0.65993406,83.02355929,47.92132944,1.849069647,7.321804143,36.40997053,1.927211914,34.6022139,42.95,38.56,7386099,8.785998208,218.830703,25200,1.327783597,2.84514932
2010,7.457409442,32.39551962,0.606825643,80.52395406,50.78319011,2.084178859,7.660634011,20.46529046,5.08355568,44.71750222,56.11,33.56,8503257,8.944158831,317.2541744,30161,1.506204049,2.221336055
2010,8.159729249,32.7404789,0.601216521,80.09647136,58.43002667,2.285123922,7.923793545,25.93728518,5.475649093,46.37248162,60.16,36.13,35649739,9.137339479,240.7243397,44563,1.131692521,2.363034019
2010,8.112954494,32.95559423,0.660097524,78.44611852,51.12040163,2.290858631,7.605862775,31.76539762,2.489097947,49.14008526,49.25,33.5,9751020,8.846353043,130.527144,37917,1.83071901,3.802846383
2010,7.801822033,37.52514253,0.469998035,81.57692459,88.32635252,7.547600046,8.319166273,26.49379932,6.223224352,52.40135287,49.73,49.15,20600737,9.213634939,247.0064148,58337,2.141675684,2.806011417
2010,7.206921904,34.55384508,0.625591081,82.0619362,46.72706743,2.176771246,7.699285281,32.02895069,4.817106133,50,45.57,36.62,14307097,8.969669104,246.3402572,29769,0.951562615,2.085662257
2010,7.770213715,49.74808563,0.167826498,86.77133141,39.3764572,2.428405666,7.681350959,32.18010871,0.932863229,31.37946232,54.99,32.91,3111826,8.127404563,196.7592593,17680,1.441402848,3.299484068
2010,9.211542243,46.59575661,0.327807928,81.21021082,23.16035876,1.231811336,6.902350189,41.23963223,1.308429242,31.52446473,25.11,44.31,1560193,7.901747519,293.2330827,5304,0.819306432,2.725092492
